Numero_Ateco,Descrizione_Ateco,Lettera_Ateco,Descrizione_Lettera
11110,Coltivazione di cereali (escluso il riso),A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11120,Coltivazione di semi oleosi,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11130,Coltivazione di legumi da granella,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11140,"Coltivazioni miste di cereali, legumi da granella e semi oleosi",A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11200,Coltivazione di riso,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11310,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)",A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11320,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)",A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11330,Coltivazione di barbabietola da zucchero,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11340,Coltivazione di patate,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11400,Coltivazione di canna da zucchero,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11500,Coltivazione di tabacco,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11600,Coltivazione di piante per la preparazione di fibre tessili,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
0,Coltivazione di fiori in piena aria,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11920,Coltivazione di fiori in colture protette,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
11990,Coltivazione di piante da foraggio e di altre colture non permanenti,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
12100,Coltivazione di uva,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
12200,Coltivazione di frutta di origine tropicale e subtropicale,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
12300,Coltivazione di agrumi,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
12400,Coltivazione di pomacee e frutta a nocciolo,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
12500,"Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio",A,"AGRICOLTURA, SILVICOLTURA E PESCA"
12600,Coltivazione di frutti oleosi,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
12700,Coltivazione di piante per la produzione di bevande,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
12800,"Coltivazione di spezie, piante aromatiche e farmaceutiche",A,"AGRICOLTURA, SILVICOLTURA E PESCA"
12900,Coltivazione di altre colture permanenti (inclusi alberi di Natale),A,"AGRICOLTURA, SILVICOLTURA E PESCA"
13000,Riproduzione delle piante,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14100,"Allevamento di bovini e bufale da latte, produzione di latte crudo",A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14200,Allevamento di bovini e bufalini da carne,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14300,Allevamento di cavalli e altri equini,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14400,Allevamento di cammelli e camelidi,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14500,Allevamento di ovini e caprini,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14600,Allevamento di suini,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14700,Allevamento di pollame,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14910,Allevamento di conigli,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14920,Allevamento di animali da pelliccia,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14930,Apicoltura,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14940,Bachicoltura,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
14990,Allevamento di altri animali nca,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
15000,Coltivazioni agricole associate all'allevamento di animali: attivit… mista,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
16100,Attivit… di supporto alla produzione vegetale,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
16201,Attivit… dei maniscalchi,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
16209,Altre attivit… di supporto alla produzione animale (esclusi i servizi veterinari),A,"AGRICOLTURA, SILVICOLTURA E PESCA"
16300,Attivit… che seguono la raccolta,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
16401,Pulitura e cernita di semi e granaglie,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
16409,Altre lavorazioni delle sementi per la semina,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
17000,"Caccia, cattura di animali e servizi connessi",A,"AGRICOLTURA, SILVICOLTURA E PESCA"
21000,Silvicoltura e altre attivit… forestali,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
22000,Utilizzo di aree forestali,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
23000,Raccolta di prodotti selvatici non legnosi,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
24000,Servizi di supporto per la silvicoltura,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
31100,Pesca in acque marine e lagunari e servizi connessi,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
31200,Pesca in acque dolci e servizi connessi,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
32100,"Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi",A,"AGRICOLTURA, SILVICOLTURA E PESCA"
32200,Acquacoltura in acque dolci e servizi connessi,A,"AGRICOLTURA, SILVICOLTURA E PESCA"
51000,Estrazione di antracite e litantrace,B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
52000,Estrazione di lignite,B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
61000,Estrazione di petrolio greggio,B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
62000,Estrazione di gas naturale,B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
71000,Estrazione di minerali metalliferi ferrosi,B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
72100,Estrazione di minerali di uranio e di torio,B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
72900,Estrazione di altri minerali metalliferi non ferrosi,B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
81100,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia",B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
81200,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino",B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
